,time,pos,ref
0,1.031022548675537,[1 1 0],[0.00 0.00]
1,1.2427690029144287,[1.00 1.00 6.27],[2 1]
2,1.438279151916504,[1.00 1.00 6.27],[2 1]
3,1.6305904388427734,[1.01 1.00 6.27],[2 1]
4,1.8239963054656982,[1.02 1.00 6.27],[2 1]
5,2.017158031463623,[1.02 1.00 6.27],[2 1]
6,2.212548017501831,[1.04 1.00 6.27],[2 1]
7,2.4049441814422607,[1.05 1.00 6.27],[2 1]
8,2.6122360229492188,[1.07 1.00 6.27],[2 1]
9,2.8072588443756104,[1.09 1.00 6.28],[2 1]
10,2.997863292694092,[1.11 1.00 6.28],[2 1]
11,3.191176414489746,[1.14 1.00 6.28],[2 1]
12,3.3831820487976074,[1.16 1.00 6.27],[2 1]
13,3.5770204067230225,[1.19 1.00 6.27],[2 1]
14,3.7797296047210693,[1.22 1.00 6.27],[2 1]
15,3.9738779067993164,[1.26 1.00 6.27],[2 1]
16,4.16524600982666,[1.28 1.00 6.27],[2 1]
17,4.358267784118652,[1.31 1.00 6.27],[2 1]
18,4.551753759384155,[1.34 1.00 6.26],[2 1]
19,4.746952056884766,[1.37 1.00 6.26],[2 1]
20,4.955148696899414,[1.39 1.00 6.26],[2 1]
21,5.153305768966675,[1.42 0.99 6.26],[2 1]
22,5.349079608917236,[1.45 0.99 6.26],[2 1]
23,5.546528100967407,[1.47 0.99 6.26],[2 1]
24,5.742180347442627,[1.49 0.99 6.26],[2 1]
25,5.939258813858032,[1.52 0.99 6.26],[2 1]
26,6.146996974945068,[1.54 0.99 6.26],[2 1]
27,6.345079183578491,[1.56 0.99 6.26],[2 1]
28,6.541172981262207,[1.59 0.99 6.25],[2 1]
29,6.738507986068726,[1.61 0.99 6.25],[2 1]
30,6.935251712799072,[1.63 0.99 6.25],[2 1]
31,7.131112813949585,[1.65 0.99 6.25],[4 1]
32,7.339005947113037,[1.67 0.99 6.24],[4 1]
33,7.53686785697937,[1.69 0.99 6.24],[4 1]
34,7.733036279678345,[1.72 0.99 6.24],[4 1]
35,7.930370807647705,[1.75 0.98 6.24],[4 1]
36,8.126261472702026,[1.78 0.98 6.24],[4 1]
37,8.322915315628052,[1.82 0.98 6.24],[4 1]
38,8.527362823486328,[1.86 0.98 6.24],[4 1]
39,8.724758625030518,[1.90 0.98 6.24],[3.07 1.09]
40,8.916776657104492,[1.94 0.98 6.24],[3.07 1.09]
41,9.109769821166992,[1.98 0.97 6.24],[3.07 1.09]
42,9.30289602279663,[2.03 0.97 6.24],[3.07 1.09]
43,9.494075775146484,[2.07 0.97 6.24],[3.07 1.09]
44,9.68242621421814,[2.11 0.97 6.24],[3.07 1.09]
45,9.870842695236206,[2.16 0.97 6.24],[3.07 1.09]
46,10.06009554862976,[2.20 0.97 6.24],[3.07 1.09]
47,10.253158807754517,[2.24 0.96 6.23],[3.07 1.09]
48,10.44115948677063,[2.27 0.96 6.23],[3.07 1.09]
49,10.634010314941406,[2.31 0.96 6.23],[3.07 1.09]
50,10.822686433792114,[2.34 0.96 6.23],[3.07 1.09]
51,11.018340826034546,[2.37 0.96 6.23],[3.07 1.09]
52,11.210953950881958,[2.40 0.96 6.23],[3.07 1.09]
53,11.407028436660767,[2.42 0.95 6.23],[3.07 1.09]
54,11.60087776184082,[2.45 0.95 6.23],[3.07 1.09]
55,11.793173789978027,[2.48 0.95 6.23],[3.07 1.09]
56,11.989176988601685,[2.50 0.95 6.22],[3.07 1.09]
57,12.181761264801025,[2.53 0.95 6.22],[3.07 1.09]
58,12.377803802490234,[2.55 0.95 6.22],[3.07 1.09]
59,12.580886363983154,[2.57 0.95 6.22],[3.07 1.09]
60,12.800139427185059,[2.59 0.94 6.22],[3.07 1.09]
61,13.001315355300903,[2.61 0.94 6.22],[3.61 1.05]
62,13.197029113769531,[2.62 0.94 6.21],[3.61 1.05]
