,time,pos,ref
0,1.0336928367614746,[1 1 0],[0.00 0.00]
1,1.2327358722686768,[1.00 1.00 0.01],[2 1]
2,1.4246246814727783,[1.00 1.00 0.01],[2 1]
3,1.6304519176483154,[1.01 1.00 0.02],[2 1]
4,1.8468351364135742,[1.02 1.00 0.02],[2 1]
5,2.0427231788635254,[1.03 1.00 0.01],[2 1]
6,2.234886646270752,[1.04 1.00 0.01],[2 1]
7,2.427529811859131,[1.05 1.00 0.01],[2 1]
8,2.615889072418213,[1.07 1.00 0.01],[2 1]
9,2.820291042327881,[1.09 1.00 0.01],[2 1]
10,3.014230728149414,[1.11 1.00 0.02],[2.12 1.23]
11,3.2015018463134766,[1.14 1.00 0.02],[2.12 1.23]
12,3.3895270824432373,[1.16 1.00 0.02],[2.12 1.23]
13,3.5820693969726562,[1.19 1.00 0.02],[2.12 1.23]
14,3.7746503353118896,[1.23 1.00 0.02],[2.12 1.23]
15,3.963428258895874,[1.26 1.00 0.02],[2.12 1.23]
16,4.152459383010864,[1.29 1.00 0.02],[2.12 1.23]
17,4.345161437988281,[1.32 1.01 0.02],[2.12 1.23]
18,4.538133859634399,[1.35 1.01 0.01],[2.12 1.23]
19,4.730255365371704,[1.38 1.01 0.01],[2.12 1.23]
20,4.923494338989258,[1.41 1.01 0.01],[2.12 1.23]
21,5.115393161773682,[1.44 1.01 0.01],[2.12 1.23]
22,5.308508396148682,[1.47 1.01 0.01],[2.12 1.23]
23,5.501264810562134,[1.49 1.01 0.01],[2.12 1.23]
24,5.696690082550049,[1.52 1.01 0.01],[2.12 1.23]
25,5.890166282653809,[1.54 1.01 0.01],[2.12 1.23]
26,6.08210825920105,[1.56 1.01 0.01],[2.12 1.23]
27,6.277883052825928,[1.58 1.01 0.01],[2.12 1.23]
28,6.470623016357422,[1.59 1.01 0.01],[2.12 1.23]
29,6.664229154586792,[1.60 1.01 0.00],[2.12 1.23]
30,6.856271743774414,[1.61 1.01 0.00],[2.12 1.23]
31,7.052252292633057,[1.61 1.01 0.00],[2.12 1.23]
32,7.246068954467773,[1.62 1.01 0.00],[2.12 1.23]
33,7.438007593154907,[1.62 1.01 0.00],[2.12 1.23]
34,7.634003162384033,[1.62 1.01 0.01],[2.12 1.23]
35,7.826745510101318,[1.62 1.01 0.02],[2.12 1.23]
36,8.020276308059692,[1.62 1.01 0.03],[2.12 1.23]
37,8.211827754974365,[1.62 1.01 0.04],[2.12 1.23]
38,8.405113935470581,[1.62 1.01 0.05],[2.12 1.23]
39,8.596983432769775,[1.62 1.01 0.06],[2.12 1.23]
40,8.789834022521973,[1.62 1.01 0.07],[2.12 1.23]
41,8.98181962966919,[1.62 1.01 0.08],[2.12 1.23]
42,9.175318241119385,[1.62 1.01 0.10],[2.12 1.23]
43,9.370407819747925,[1.62 1.01 0.10],[2.12 1.23]
44,9.563621520996094,[1.62 1.01 0.12],[2.12 1.23]
45,9.756637573242188,[1.62 1.01 0.13],[2.12 1.23]
46,9.949142932891846,[1.62 1.01 0.14],[2.12 1.23]
47,10.141931533813477,[1.62 1.01 0.15],[2.12 1.23]
48,10.337735891342163,[1.63 1.01 0.15],[2.12 1.23]
49,10.530941009521484,[1.63 1.01 0.16],[2.12 1.23]
50,10.72320032119751,[1.64 1.01 0.17],[2.12 1.23]
51,10.919139862060547,[1.66 1.01 0.18],[2.12 1.23]
52,11.112882137298584,[1.67 1.02 0.19],[2.12 1.23]
53,11.308367013931274,[1.69 1.02 0.20],[2.12 1.23]
54,11.501756429672241,[1.71 1.02 0.21],[2.12 1.23]
55,11.694531917572021,[1.73 1.03 0.21],[2.12 1.23]
56,11.88661241531372,[1.75 1.03 0.21],[2.12 1.23]
57,12.079666137695312,[1.77 1.04 0.21],[2.12 1.23]
58,12.274882555007935,[1.79 1.04 0.21],[2.12 1.23]
59,12.468011617660522,[1.79 1.04 0.21],[2.12 1.23]
60,12.660392999649048,[1.79 1.04 0.21],[2.12 1.23]
61,12.85296106338501,[1.79 1.04 0.21],[2.12 1.23]
62,13.045035600662231,[1.79 1.04 0.21],[2.12 1.23]
63,13.230008602142334,[1.79 1.04 0.21],[2.12 1.23]
64,13.422235488891602,[1.79 1.04 0.21],[2.12 1.23]
65,13.61104130744934,[1.79 1.04 0.22],[2.12 1.23]
66,13.799186944961548,[1.79 1.04 0.23],[2.12 1.23]
67,13.987574815750122,[1.79 1.04 0.23],[2.12 1.23]
68,14.175653457641602,[1.79 1.04 0.24],[2.12 1.23]
69,14.361016750335693,[1.80 1.04 0.25],[2.12 1.23]
70,14.548899412155151,[1.81 1.05 0.26],[2.12 1.23]
